Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R313","220k","R_0402_1005Metric",103.000000,-118.787500,90.000000,top
"R314","220k","R_0402_1005Metric",103.000000,-125.812500,-90.000000,top
"R315","56k","R_0402_1005Metric",107.000000,-124.062500,-90.000000,top
"SW301","ZX-QC66-10.0TP","ZX-QC66",142.000000,-142.000000,45.000000,top
"SW302","ZX-QC66-10.0TP","ZX-QC66",142.000000,-108.000000,135.000000,top
"SW303","ZX-QC66-10.0TP","ZX-QC66",108.000000,-142.000000,-45.000000,top
"SW304","ZX-QC66-10.0TP","ZX-QC66",108.000000,-108.000000,-135.000000,top
"U101","STM32F411CEUx","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",125.000000,-125.000000,135.000000,top
"U201","BQ24259","VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",116.250000,-118.500000,45.000000,top
"U202","USBLC6-2SC6","SOT-23-6",124.997500,-104.980000,90.000000,top
"U203","TPS7A2033PDBVR","SOT-23-5",140.500000,-130.000000,0.000000,top
"U204","TPS7A2033PDBVR","SOT-23-5",107.750000,-130.000000,0.000000,top
"U301","TPD4E1U06","SOT-23-6",125.425000,-137.100000,90.000000,top
"U401","TAD5242","TAD5242",133.750000,-118.500000,45.000000,top
"U403","TPD4E1U06","SOT-23-6",146.250000,-113.750000,45.000000,top
"Y101","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",130.150000,-131.950000,45.000000,top
